* primer sequences are manufactured specifically for use with the Ion AmpliSeq Kits and contain proprietary modifications.
384Well_PlateID,384Well_Row,384Well_Col,Amplicon_ID,Ion_AmpliSeq_Fwd_Primer*,Ion_AmpliSeq_Rev_Primer*
Pool1_01,A,1,SP_384.18578,.,.
Pool1_01,A,2,7173184258,.,.
Pool1_01,A,3,7169598660,.,.
Pool1_01,A,4,7173184188,.,.
Pool1_01,A,5,7170426628,.,.
Pool1_01,A,6,7170665448,.,.
Pool1_01,A,7,7173178320,.,.
Pool1_01,A,8,7172671700,.,.
Pool1_01,A,9,7173178211,.,.
Pool1_01,A,10,7173178395,.,.
Pool1_01,A,11,7173178451,.,.
Pool1_01,A,12,7173184271,.,.
Pool1_01,A,13,7173184211,.,.
Pool1_01,A,14,7173178284,.,.
Pool1_01,A,15,7173178257,.,.
Pool1_01,A,16,7173178205,.,.
Pool1_01,A,17,7173184191,.,.
Pool1_01,A,18,7173184238,.,.
Pool1_01,A,19,7173184279,.,.
Pool1_01,A,20,7173178442,.,.
Pool1_01,A,21,7173184246,.,.
Pool1_01,A,22,7169440420,.,.
Pool1_01,A,23,7169974032,.,.
Pool1_01,A,24,7173178334,.,.
Pool1_01,B,1,7173184196,.,.
Pool1_01,B,2,SP_346.215970,.,.
Pool1_01,B,3,7173178244,.,.
Pool1_01,B,4,7173178447,.,.
Pool1_01,B,5,7173178422,.,.
Pool1_01,B,6,7173184198,.,.
Pool1_01,B,7,7173178300,.,.
Pool1_01,B,8,7173178267,.,.
Pool1_01,B,9,7173178399,.,.
Pool1_01,B,10,7173178385,.,.
Pool1_01,B,11,7173178342,.,.
Pool1_01,B,12,7171333407,.,.
Pool1_01,B,13,7171654787,.,.
Pool1_01,B,14,7173178387,.,.
Pool1_01,B,15,7173184260,.,.
Pool1_01,B,16,7173178380,.,.
Pool1_01,B,17,7173184256,.,.
Pool1_01,B,18,7173184199,.,.
Pool1_01,B,19,7173178337,.,.
Pool1_01,B,20,7173178445,.,.
Pool1_01,B,21,7173184202,.,.
Pool1_01,B,22,7173178391,.,.
Pool1_01,B,23,7173178275,.,.
Pool1_01,B,24,7169311672,.,.
Pool1_01,C,1,7173178250,.,.
Pool1_01,C,2,7173178231,.,.
Pool1_01,C,3,7173178349,.,.
Pool1_01,C,4,7173178331,.,.
Pool1_01,C,5,7173178273,.,.
Pool1_01,C,6,7170963455,.,.
Pool1_01,C,7,7173178367,.,.
Pool1_01,C,8,7170167868,.,.
Pool1_01,C,9,7173178417,.,.
Pool1_01,C,10,7173178336,.,.
Pool1_01,C,11,7173178306,.,.
Pool1_01,C,12,7173178471,.,.
Pool1_01,C,13,7173184257,.,.
Pool1_01,C,14,7169263020,.,.
Pool1_01,C,15,7173184186,.,.
Pool1_01,C,16,7173178379,.,.
Pool1_01,C,17,7173178238,.,.
Pool1_01,C,18,7173184262,.,.
Pool1_01,C,19,7173178271,.,.
Pool1_01,C,20,7173178283,.,.
Pool1_01,C,21,7173184282,.,.
Pool1_01,C,22,7173178213,.,.
Pool1_01,C,23,7173178371,.,.
Pool1_01,C,24,7169590401,.,.
Pool1_01,D,1,7173184235,.,.
Pool1_01,D,2,7173178377,.,.
Pool1_01,D,3,7173178242,.,.
Pool1_01,D,4,7173178329,.,.
Pool1_01,D,5,7173178390,.,.
Pool1_01,D,6,7169598452,.,.
Pool1_01,D,7,7173178396,.,.
Pool1_01,D,8,7173178436,.,.
Pool1_01,D,9,7173184173,.,.
Pool1_01,D,10,7173184209,.,.
Pool1_01,D,11,7169527113,.,.
Pool1_01,D,12,7173184205,.,.
Pool1_01,D,13,7173178254,.,.
Pool1_01,D,14,7173178392,.,.
Pool1_01,D,15,7173178233,.,.
Pool1_01,D,16,7173178397,.,.
Pool1_01,D,17,7173178315,.,.
Pool1_01,D,18,7169975351,.,.
Pool1_01,D,19,7173178261,.,.
Pool1_01,D,20,7173184289,.,.
Pool1_01,D,21,7170430130,.,.
Pool1_01,D,22,7173184284,.,.
Pool1_01,D,23,7173178333,.,.
Pool1_01,D,24,7173178196,.,.
Pool1_01,E,1,7173059704,.,.
Pool1_01,E,2,7173184223,.,.
Pool1_01,E,3,SP_367.47264,.,.
Pool1_01,E,4,7173178229,.,.
Pool1_01,E,5,7173184203,.,.
Pool1_01,E,6,7173184178,.,.
Pool1_01,E,7,7173184302,.,.
Pool1_01,E,8,7173184210,.,.
Pool1_01,E,9,7159320564,.,.
Pool1_01,E,10,7173178420,.,.
Pool1_01,E,11,7173184175,.,.
Pool1_01,E,12,7173178210,.,.
Pool1_01,E,13,7173178411,.,.
Pool1_01,E,14,7173178305,.,.
