chr	start	end
chr1	69900	69961
chr1	367680	367909
chr1	368015	368093
chr1	368170	368516
chr1	368556	368597
chr1	877831	877854
chr1	878066	878080
chr1	896074	896125
chr1	899902	899910
chr1	911556	911660
chr1	911870	911999
chr1	914256	914849
chr1	914948	915305
chr1	915557	915721
chr1	915819	915891
chr1	915932	916080
chr1	916504	916577
chr1	935159	935209
chr1	935251	935335
chr1	955601	955728
chr1	976193	976235
chr1	983643	983644
chr1	987373	987396
chr1	988841	988873
chr1	1019295	1019452
chr1	1019549	1019656
chr1	1026256	1026259
chr1	1026303	1026363
chr1	1116206	1116207
chr1	1117741	1117826
chr1	1120358	1120362
chr1	1132902	1133227
chr1	1141764	1141773
chr1	1148515	1148527
chr1	1148766	1148902
chr1	1149363	1149418
chr1	1167733	1167930
chr1	1167999	1168057
chr1	1181894	1182048
chr1	1229290	1229313
chr1	1229782	1229790
chr1	1233206	1233210
chr1	1242636	1242758
chr1	1243181	1243195
chr1	1246060	1246068
chr1	1246383	1246388
chr1	1275892	1275895
chr1	1284346	1284447
chr1	1288681	1288750
chr1	1293930	1293965
chr1	1326832	1326955
chr1	1334487	1334518
chr1	1341123	1341146
chr1	1355432	1355489
chr1	1355659	1355662
chr1	1355703	1355909
chr1	1361604	1361621
chr1	1362983	1363021
chr1	1371129	1371173
chr1	1374919	1374935
chr1	1391648	1391706
chr1	1394605	1394611
chr1	1407274	1407279
chr1	1407309	1407423
chr1	1425585	1425630
chr1	1447660	1447853
chr1	1447940	1448069
chr1	1475707	1475726
chr1	1534985	1535053
chr1	1535269	1535294
chr1	1563131	1563172
chr1	1567598	1567753
chr1	1597186	1597197
chr1	1606958	1606998
chr1	1607026	1607029
chr1	1654223	1654244
chr1	1669760	1669808
chr1	1689994	1690022
chr1	1853726	1853827
chr1	1854424	1854512
chr1	1854577	1854584
chr1	1854822	1854938
chr1	1855214	1855249
chr1	1855290	1855368
chr1	1855886	1855959
chr1	1857222	1857258
chr1	1857285	1857368
chr1	1857735	1857786
chr1	1858091	1858200
chr1	1858333	1858467
chr1	1859069	1859185
chr1	1860223	1860258
chr1	1860311	1860321
chr1	1861552	1861592
chr1	1861659	1861775
chr1	1870296	1870427
chr1	1871033	1871206
chr1	1871755	1871842
chr1	1873475	1873595
chr1	1875770	1875891
chr1	1877771	1877878
chr1	1878429	1878493
chr1	1896342	1896351
chr1	1950863	1950901
chr1	1982070	1982140
chr1	2005599	2005613
chr1	2124357	2124414
chr1	2126127	2126132
chr1	2130222	2130310
chr1	2130348	2130429
chr1	2132613	2132618
chr1	2160245	2160246
chr1	2286791	2286903
chr1	2322988	2323006
chr1	2436348	2436354
chr1	2436574	2436578
chr1	2461064	2461071
chr1	2490320	2490353
chr1	2490472	2490617
chr1	2492948	2493053
chr1	2537687	2537695
chr1	2560784	2560807
chr1	2560856	2560899
chr1	2985855	2985860
chr1	3388240	3388288
chr1	3388312	3388355
chr1	3447644	3447768
chr1	3541668	3541775
chr1	3712719	3712730
chr1	3775418	3775430
chr1	4715486	4715504
chr1	4772125	4772159
chr1	5948590	5948670
chr1	6157469	6157478
chr1	6209002	6209037
chr1	6240028	6240083
chr1	6268963	6268969
chr1	6295808	6295939
chr1	6305253	6305369
chr1	6309398	6309624
chr1	6309681	6309740
chr1	6342784	6342856
chr1	6453317	6453445
chr1	6479093	6479104
chr1	6479706	6479756
chr1	6485155	6485172
chr1	6500725	6500781
chr1	6501068	6501110
chr1	6653726	6653741
chr1	6761789	6761841
chr1	7831444	7831445
chr1	8022853	8022862
chr1	8585818	8585924
chr1	8930639	8930645
